stop_name,stop_id,stop_lat,stop_lon,carrier,identifier
Lisboa (Pça Espanha) Terminal P4,11_2360,38.736638146596,-9.15901887638051,data_tst,2360
Lisboa (Pça Espanha) Terminal P5,11_1129,38.7365754695764,-9.15921763838664,data_tst,1129
Lisboa (R Carlos Alberto Mota Pinto) Fte C C Amore,11_4065,38.7239355995201,-9.16062003613665,data_tst,4065
Lisboa (R Marquês de Fronteira),11_4067,38.7276961660818,-9.16070967593165,data_tst,4067
Loja Nova (EM 533) Fte Viv Fernandes,11_2806,38.6810026006153,-8.73252587004085,data_tst,2806
Loja Nova (EM 533) Paragem Bronze,11_2809,38.6849875360921,-8.73154930143787,data_tst,2809
Loja Nova (EM 533) Viv Fernandes,11_2807,38.6809432618278,-8.73254088911521,data_tst,2807
Loja Nova (EN 4) Café Loja Nova,11_3621,38.687518319592,-8.72959742478654,data_tst,3621
Loja Nova (EN 4) Fte Café Loja Nova,11_3622,38.6872881976608,-8.72818223518426,data_tst,3622
Loja Nova (X) (EM 533) Fte Paragem Bronze,11_2808,38.6852190444682,-8.73148924333334,data_tst,2808
Loja Nova (X) (EN 4) Café Loja Nova,11_2811,38.687708839786,-8.7307124817723,data_tst,2811
Loja Nova (X) Lagoa Calvo,11_2771,38.687402341808,-8.73094700987213,data_tst,2771
MAL PENTEADA,1_14110,38.768936,-9.195495,data_carris,14110
MANUTENÇÃO MILITAR,1_8313,38.733009,-9.104307,data_carris,8313
MARQUÊS DE POMBAL,M10,38.72593,-9.14965,data_metro_de_lisboa,M10
MARTIM MONIZ,1_819,38.715296,-9.136134,data_carris,819
MARVILA,1_12522,38.740872,-9.105669,data_carris,12522
MATINHA,1_2203,38.748127,-9.096957,data_carris,2203
MEIA LARANJA,1_9301,38.715817,-9.172782,data_carris,9301
MERCADO ENCARNAÇÃO,1_12213,38.776677,-9.120043,data_carris,12213
MERCADO S. DOMINGOS BENFICA,1_10720,38.744161,-9.180108,data_carris,10720
MERCADO XABREGAS,1_8321,38.727784,-9.114681,data_carris,8321
MIRADOURO STA. LUZIA,1_13805,38.711581,-9.130576,data_carris,13805
MIRAFLORES,1_14309,38.713332,-9.225254,data_carris,14309
MIRAFLORES NORTE,1_14307,38.714145,-9.22722,data_carris,14307
MONSANTO,1_8705,38.732765,-9.189648,data_carris,8705
MONTES CLAROS,1_21303,38.71774,-9.199562,data_carris,21303
MOSCAVIDE,1_7917,38.773614,-9.104751,data_carris,7917
MOSCAVIDE - R. JOÃO PINTO RIBE,1_7908,38.775044,-9.10224,data_carris,7908
MOSCAVIDE CENTRO,1_7902,38.779906,-9.102483,data_carris,7902
MOSTEIRO DOS JERÓNIMOS,1_9603,38.697252,-9.20367,data_carris,9603
MOSTEIRO JERÓNIMOS,1_9604,38.697728,-9.204514,data_carris,9604
MQ. POMBAL - R. ALEXANDRE HERC,1_1216,38.722668,-9.149384,data_carris,1216
MQ. POMBAL - R. JOAQUIM A. AGU,1_1215,38.724996,-9.152672,data_carris,1215
MUSEU MILITAR,1_2119,38.71245,-9.124838,data_carris,2119
Manteigadas,11_785,38.522476197948,-8.8509612026561,data_tst,785
